,Presynaptic layer,Postsynaptic layer,Presynaptic Schneider-Mizell type,Postsynaptic Schneider-Mizell type,sample size,column radius (um),connection probability,dataset,citation
110,L3,L4,DTC,ITC,60,50,0.08333333333333333,Schneider-Mizell2024,schneider-mizell_cell-type_2024
111,L3,L4,DTC,L4a,320,50,0.009375,Schneider-Mizell2024,schneider-mizell_cell-type_2024
112,L3,L4,DTC,L4b,760,50,0.03289473684210526,Schneider-Mizell2024,schneider-mizell_cell-type_2024
113,L3,L4,DTC,L4c,405,50,0.056790123456790124,Schneider-Mizell2024,schneider-mizell_cell-type_2024
114,L3,L4,DTC,PTC,70,50,0.15714285714285714,Schneider-Mizell2024,schneider-mizell_cell-type_2024
115,L3,L4,ITC,DTC,99,50,0.6060606060606061,Schneider-Mizell2024,schneider-mizell_cell-type_2024
116,L3,L4,ITC,ITC,132,50,0.17424242424242425,Schneider-Mizell2024,schneider-mizell_cell-type_2024
117,L3,L4,ITC,L4a,704,50,0.01278409090909091,Schneider-Mizell2024,schneider-mizell_cell-type_2024
118,L3,L4,ITC,L4b,1672,50,0.01076555023923445,Schneider-Mizell2024,schneider-mizell_cell-type_2024
119,L3,L4,ITC,L4c,891,50,0.015712682379349047,Schneider-Mizell2024,schneider-mizell_cell-type_2024
120,L3,L4,ITC,PTC,154,50,0.23376623376623376,Schneider-Mizell2024,schneider-mizell_cell-type_2024
121,L3,L4,ITC,STC,11,50,0.2727272727272727,Schneider-Mizell2024,schneider-mizell_cell-type_2024
122,L3,L4,PTC,DTC,108,50,0.3611111111111111,Schneider-Mizell2024,schneider-mizell_cell-type_2024
123,L3,L4,PTC,ITC,144,50,0.05555555555555555,Schneider-Mizell2024,schneider-mizell_cell-type_2024
124,L3,L4,PTC,L4a,768,50,0.09765625,Schneider-Mizell2024,schneider-mizell_cell-type_2024
125,L3,L4,PTC,L4b,1824,50,0.1337719298245614,Schneider-Mizell2024,schneider-mizell_cell-type_2024
126,L3,L4,PTC,L4c,972,50,0.050411522633744855,Schneider-Mizell2024,schneider-mizell_cell-type_2024
127,L3,L4,PTC,PTC,168,50,0.3333333333333333,Schneider-Mizell2024,schneider-mizell_cell-type_2024
128,L3,L4,STC,DTC,45,50,0.17777777777777778,Schneider-Mizell2024,schneider-mizell_cell-type_2024
129,L3,L4,STC,ITC,60,50,0.05,Schneider-Mizell2024,schneider-mizell_cell-type_2024
130,L3,L4,STC,L4a,320,50,0.13125,Schneider-Mizell2024,schneider-mizell_cell-type_2024
131,L3,L4,STC,L4b,760,50,0.06578947368421052,Schneider-Mizell2024,schneider-mizell_cell-type_2024
132,L3,L4,STC,L4c,405,50,0.10864197530864197,Schneider-Mizell2024,schneider-mizell_cell-type_2024
133,L3,L4,STC,PTC,70,50,0.14285714285714285,Schneider-Mizell2024,schneider-mizell_cell-type_2024
134,L3,L5,DTC,DTC,105,50,0.047619047619047616,Schneider-Mizell2024,schneider-mizell_cell-type_2024
135,L3,L5,DTC,ITC,15,50,0.06666666666666667,Schneider-Mizell2024,schneider-mizell_cell-type_2024
136,L3,L5,DTC,L5ET,190,50,0.34210526315789475,Schneider-Mizell2024,schneider-mizell_cell-type_2024
137,L3,L5,DTC,L5NP,50,50,0.16,Schneider-Mizell2024,schneider-mizell_cell-type_2024
138,L3,L5,DTC,L5a,150,50,0.13333333333333333,Schneider-Mizell2024,schneider-mizell_cell-type_2024
139,L3,L5,DTC,L5b,220,50,0.08181818181818182,Schneider-Mizell2024,schneider-mizell_cell-type_2024
140,L3,L5,DTC,PTC,100,50,0.03,Schneider-Mizell2024,schneider-mizell_cell-type_2024
141,L3,L5,ITC,DTC,231,50,0.22510822510822512,Schneider-Mizell2024,schneider-mizell_cell-type_2024
142,L3,L5,ITC,ITC,33,50,0.15151515151515152,Schneider-Mizell2024,schneider-mizell_cell-type_2024
143,L3,L5,ITC,L5ET,418,50,0.04066985645933014,Schneider-Mizell2024,schneider-mizell_cell-type_2024
144,L3,L5,ITC,L5a,330,50,0.012121212121212121,Schneider-Mizell2024,schneider-mizell_cell-type_2024
145,L3,L5,ITC,L5b,484,50,0.014462809917355372,Schneider-Mizell2024,schneider-mizell_cell-type_2024
146,L3,L5,ITC,PTC,220,50,0.10454545454545454,Schneider-Mizell2024,schneider-mizell_cell-type_2024
147,L3,L5,PTC,DTC,252,50,0.03571428571428571,Schneider-Mizell2024,schneider-mizell_cell-type_2024
148,L3,L5,PTC,ITC,36,50,0.05555555555555555,Schneider-Mizell2024,schneider-mizell_cell-type_2024
149,L3,L5,PTC,L5ET,456,50,0.3048245614035088,Schneider-Mizell2024,schneider-mizell_cell-type_2024
150,L3,L5,PTC,L5NP,120,50,0.016666666666666666,Schneider-Mizell2024,schneider-mizell_cell-type_2024
151,L3,L5,PTC,L5a,360,50,0.12777777777777777,Schneider-Mizell2024,schneider-mizell_cell-type_2024
152,L3,L5,PTC,L5b,528,50,0.13068181818181818,Schneider-Mizell2024,schneider-mizell_cell-type_2024
153,L3,L5,PTC,PTC,240,50,0.09583333333333334,Schneider-Mizell2024,schneider-mizell_cell-type_2024
154,L3,L5,STC,DTC,105,50,0.05714285714285714,Schneider-Mizell2024,schneider-mizell_cell-type_2024
155,L3,L5,STC,ITC,15,50,0.06666666666666667,Schneider-Mizell2024,schneider-mizell_cell-type_2024
156,L3,L5,STC,L5ET,190,50,0.2894736842105263,Schneider-Mizell2024,schneider-mizell_cell-type_2024
157,L3,L5,STC,L5NP,50,50,0.02,Schneider-Mizell2024,schneider-mizell_cell-type_2024
158,L3,L5,STC,L5a,150,50,0.05333333333333334,Schneider-Mizell2024,schneider-mizell_cell-type_2024
159,L3,L5,STC,L5b,220,50,0.11363636363636363,Schneider-Mizell2024,schneider-mizell_cell-type_2024
160,L3,L5,STC,PTC,100,50,0.08,Schneider-Mizell2024,schneider-mizell_cell-type_2024
161,L3,L6,DTC,DTC,75,50,0.013333333333333334,Schneider-Mizell2024,schneider-mizell_cell-type_2024
162,L3,L6,DTC,L6short-a,345,50,0.017391304347826087,Schneider-Mizell2024,schneider-mizell_cell-type_2024
163,L3,L6,DTC,L6short-b,275,50,0.03272727272727273,Schneider-Mizell2024,schneider-mizell_cell-type_2024
164,L3,L6,DTC,L6tall-a,405,50,0.06419753086419754,Schneider-Mizell2024,schneider-mizell_cell-type_2024
165,L3,L6,DTC,L6tall-b,310,50,0.1032258064516129,Schneider-Mizell2024,schneider-mizell_cell-type_2024
166,L3,L6,DTC,L6tall-c,525,50,0.09904761904761905,Schneider-Mizell2024,schneider-mizell_cell-type_2024
167,L3,L6,DTC,L6wm,130,50,0.06923076923076923,Schneider-Mizell2024,schneider-mizell_cell-type_2024
168,L3,L6,DTC,PTC,60,50,0.08333333333333333,Schneider-Mizell2024,schneider-mizell_cell-type_2024
169,L3,L6,DTC,STC,30,50,0.03333333333333333,Schneider-Mizell2024,schneider-mizell_cell-type_2024
170,L3,L6,ITC,DTC,165,50,0.06060606060606061,Schneider-Mizell2024,schneider-mizell_cell-type_2024
171,L3,L6,ITC,L6short-a,759,50,0.00922266139657444,Schneider-Mizell2024,schneider-mizell_cell-type_2024
172,L3,L6,ITC,L6short-b,605,50,0.008264462809917356,Schneider-Mizell2024,schneider-mizell_cell-type_2024
173,L3,L6,ITC,L6tall-a,891,50,0.019079685746352413,Schneider-Mizell2024,schneider-mizell_cell-type_2024
174,L3,L6,ITC,L6tall-b,682,50,0.02346041055718475,Schneider-Mizell2024,schneider-mizell_cell-type_2024
175,L3,L6,ITC,L6tall-c,1155,50,0.011255411255411256,Schneider-Mizell2024,schneider-mizell_cell-type_2024
176,L3,L6,ITC,PTC,132,50,0.007575757575757576,Schneider-Mizell2024,schneider-mizell_cell-type_2024
177,L3,L6,PTC,DTC,180,50,0.06111111111111111,Schneider-Mizell2024,schneider-mizell_cell-type_2024
178,L3,L6,PTC,L6short-a,828,50,0.050724637681159424,Schneider-Mizell2024,schneider-mizell_cell-type_2024
179,L3,L6,PTC,L6short-b,660,50,0.031818181818181815,Schneider-Mizell2024,schneider-mizell_cell-type_2024
180,L3,L6,PTC,L6tall-a,972,50,0.05246913580246913,Schneider-Mizell2024,schneider-mizell_cell-type_2024
181,L3,L6,PTC,L6tall-b,744,50,0.030913978494623656,Schneider-Mizell2024,schneider-mizell_cell-type_2024
182,L3,L6,PTC,L6tall-c,1260,50,0.027777777777777776,Schneider-Mizell2024,schneider-mizell_cell-type_2024
183,L3,L6,PTC,PTC,144,50,0.0763888888888889,Schneider-Mizell2024,schneider-mizell_cell-type_2024
184,L3,L6,PTC,STC,72,50,0.027777777777777776,Schneider-Mizell2024,schneider-mizell_cell-type_2024
185,L3,L6,STC,L6short-a,345,50,0.057971014492753624,Schneider-Mizell2024,schneider-mizell_cell-type_2024
