,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,Stimulus pulse frequency (Hz),Number of pulses,Interburst interval,Number of bursts,Paired pulse difference,stp induction,stp recovery,Holding potential (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
250,mouse,VISp,114.72751995564232,65.41633258566084,L5,Pvalb,INH,16296,L4,Tlx3,EXC,16299,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.2829157425794639,-0.8616017374703291,-0.33951108821338266,-55.0,100.0,125.0,50.0,75.0
251,mouse,VISp,127.62093101147879,85.0774341265854,L5,Pvalb,INH,16296,L4,Tlx3,EXC,16300,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.31117344329984487,-0.7835047669102628,-0.2733016060132112,-55.0,125.0,150.0,75.0,100.0
252,mouse,VISp,60.411349799916316,13.68624022119123,L5,Tlx3,EXC,16310,L5,Pvalb,INH,16314,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.34706351371846617,-0.5676850720988871,-0.02286515280793798,-70.0,50.0,75.0,0.0,25.0
253,mouse,VISp,13.415260246827897,22.121540465118542,L5,Tlx3,EXC,16313,L5,Pvalb,INH,16314,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.09910241866846028,-0.46831616766630985,-0.18543166700068894,-70.0,0.0,25.0,0.0,25.0
254,mouse,VISp,22.88998156531201,8.254691419409257,L5,Pvalb,INH,16314,L4,Tlx3,EXC,16315,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.4170290811683045,-0.6045615459681348,-0.17610110415757074,-55.0,0.0,25.0,0.0,25.0
255,mouse,VISp,22.88998156531201,8.254691419409257,L4,Tlx3,EXC,16315,L5,Pvalb,INH,16314,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.20425209220583238,-0.4783962000942089,-0.2938310597701943,-70.0,0.0,25.0,0.0,25.0
256,mouse,VISp,53.16983285462406,56.70439664921268,L5,,INH,16360,L5,Pvalb,INH,16361,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.08539490005574991,-0.051515793866124385,-0.2360685995185585,-55.0,50.0,75.0,50.0,75.0
257,mouse,VISp,37.64982286480946,2.324865746333374,L4,Nr5a1,EXC,16400,L4,Pvalb,INH,16402,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.29699255610417097,-0.4356603278002591,-0.14368870535756212,-70.0,25.0,50.0,0.0,25.0
258,mouse,VISp,22.92402775460518,44.5955937579721,L4,Nr5a1,EXC,16400,L23,Pvalb,INH,16404,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.12828191330190886,-0.09109308083728868,-0.02468959401779772,-70.0,0.0,25.0,25.0,50.0
259,mouse,VISp,8.633867510966267,11.471890982879655,L23,Nr5a1,EXC,16403,L23,Pvalb,INH,16404,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.03931823131878525,0.05977016058552139,-0.04473555793591827,-70.0,0.0,25.0,0.0,25.0
