,firing rate (Hz),temporal frequency (Hz),stimulus orientation (degrees),region,spiking class,layer,citation,dataset
196,0.2661252588657365,optimal,optimal,CA1,FS,,siegle_survey_2019,Siegle2019
197,7.507765104472706,optimal,optimal,LGd,FS,,siegle_survey_2019,Siegle2019
198,3.6212441140311578,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
199,5.554445204881832,optimal,optimal,VIS,FS,,siegle_survey_2019,Siegle2019
200,0.1757936899924469,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
201,0.1614972152039045,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
202,0.2419810732727356,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
203,0.1673216568878888,optimal,optimal,DG,RS,,siegle_survey_2019,Siegle2019
204,12.423959440340742,optimal,optimal,VISpm,FS,L5,siegle_survey_2019,Siegle2019
205,0.7270022179506916,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
206,0.1546137273427545,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
207,0.1927376047695934,optimal,optimal,DG,FS,,siegle_survey_2019,Siegle2019
208,3.130927079677489,optimal,optimal,DG,RS,,siegle_survey_2019,Siegle2019
209,1.199844539582139,optimal,optimal,DG,FS,,siegle_survey_2019,Siegle2019
210,8.680605199430534,optimal,optimal,DG,RS,,siegle_survey_2019,Siegle2019
211,0.1763231384293258,optimal,optimal,DG,FS,,siegle_survey_2019,Siegle2019
212,0.9414493397788272,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
213,0.4701015051819897,optimal,optimal,VISpm,RS,L4,siegle_survey_2019,Siegle2019
214,0.1003945327890989,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
215,0.1223142843019736,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
216,0.4143266432565987,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
217,0.1030504728099745,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
218,0.3835177390144413,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
219,21.533668025942266,optimal,optimal,VIS,FS,,siegle_survey_2019,Siegle2019
220,0.180603921419543,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
221,0.0550679028892002,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
222,0.092426712726472,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
223,0.3096826064340988,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
224,0.654423621143756,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
225,0.55703301768691,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
226,0.4876305878327662,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
227,1.252794790729305,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
228,0.1567317236077237,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
229,0.4209517576626364,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
230,0.8239005470730343,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
231,0.2276845984841932,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
232,0.3891817019386021,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
233,0.3952039772377405,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
234,0.0624808898165925,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
235,0.1959146545096547,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
236,0.3748853388995554,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
237,0.0656578842140464,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
238,0.1329042274647471,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
239,0.7338857058118416,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
240,4.332369362052332,optimal,optimal,VISp,RS,L6a,siegle_survey_2019,Siegle2019
241,9.472678126452454,optimal,optimal,APN,RS,,siegle_survey_2019,Siegle2019
242,3.167992003671641,optimal,optimal,VISp,RS,L6a,siegle_survey_2019,Siegle2019
243,17.081412650259544,optimal,optimal,VISp,FS,L5,siegle_survey_2019,Siegle2019
244,1.246440444031931,optimal,optimal,VISp,RS,L5,siegle_survey_2019,Siegle2019
245,9.458336046633342,optimal,optimal,APN,RS,,siegle_survey_2019,Siegle2019
246,8.507988553400624,optimal,optimal,VISp,RS,L5,siegle_survey_2019,Siegle2019
247,1.7725748280138978,optimal,optimal,APN,RS,,siegle_survey_2019,Siegle2019
248,1.1393985634071953,optimal,optimal,APN,RS,,siegle_survey_2019,Siegle2019
249,0.0640693870153195,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
250,0.0534794056904733,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
251,0.5104370998575868,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
252,1.7242367071420772,optimal,optimal,APN,RS,,siegle_survey_2019,Siegle2019
253,0.0826018543338003,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
254,2.674001104052131,optimal,optimal,APN,RS,,siegle_survey_2019,Siegle2019
255,0.4728425303825465,optimal,optimal,VISp,RS,L4,siegle_survey_2019,Siegle2019
256,0.119666788970762,optimal,optimal,VIS,RS,,siegle_survey_2019,Siegle2019
257,5.459551717808463,optimal,optimal,APN,FS,,siegle_survey_2019,Siegle2019
258,1.9728327573400108,optimal,optimal,APN,FS,,siegle_survey_2019,Siegle2019
259,0.2520415555313395,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
260,0.4100772451983006,optimal,optimal,NOT,RS,,siegle_survey_2019,Siegle2019
261,0.247533609945609,optimal,optimal,VISp,RS,L2,siegle_survey_2019,Siegle2019
262,0.154044561020087,optimal,optimal,SUB,RS,,siegle_survey_2019,Siegle2019
263,0.0557747548521004,optimal,optimal,SUB,RS,,siegle_survey_2019,Siegle2019
264,1.955303548672208,optimal,optimal,SUB,RS,,siegle_survey_2019,Siegle2019
265,0.9356248500501616,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
266,3.2262378106143945,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
267,7.350506037575747,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
268,1.7577015600533377,optimal,optimal,SUB,RS,,siegle_survey_2019,Siegle2019
269,6.350811800510266,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
270,7.123350938157796,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
271,6.8278923701799945,optimal,optimal,SUB,FS,,siegle_survey_2019,Siegle2019
272,1.800826324290096,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
273,0.14713907715651,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
274,4.317005887073553,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
275,8.186055564106113,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
276,7.39021846754392,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
277,1.7566391837704405,optimal,optimal,VISp,RS,L4,siegle_survey_2019,Siegle2019
278,0.3378355706553805,optimal,optimal,LGd,FS,,siegle_survey_2019,Siegle2019
279,4.289874321718322,optimal,optimal,LGd,FS,,siegle_survey_2019,Siegle2019
280,0.0663985176810719,optimal,optimal,VISp,RS,L3,siegle_survey_2019,Siegle2019
281,1.019349780012068,optimal,optimal,CA3,RS,,siegle_survey_2019,Siegle2019
282,27.995201384041696,optimal,optimal,CA3,FS,,siegle_survey_2019,Siegle2019
283,3.404678018320016,optimal,optimal,VISl,RS,L6a,siegle_survey_2019,Siegle2019
284,0.2541595517963088,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
285,0.6338102003000091,optimal,optimal,VISl,RS,L6a,siegle_survey_2019,Siegle2019
286,0.8021908550163023,optimal,optimal,VISl,RS,L5,siegle_survey_2019,Siegle2019
287,33.62424004966682,optimal,optimal,VISl,FS,L5,siegle_survey_2019,Siegle2019
288,0.403171695168921,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
289,8.24881851683554,optimal,optimal,CA1,FS,,siegle_survey_2019,Siegle2019
290,1.284564365854488,optimal,optimal,ZI,FS,,siegle_survey_2019,Siegle2019
291,5.109497412160542,optimal,optimal,VISl,RS,L5,siegle_survey_2019,Siegle2019
292,5.138786962332154,optimal,optimal,MB,FS,,siegle_survey_2019,Siegle2019
293,1.0358166081414968,optimal,optimal,VISl,RS,L5,siegle_survey_2019,Siegle2019
294,0.1168613609185278,optimal,optimal,VISl,FS,L5,siegle_survey_2019,Siegle2019
295,1.8437535624918644,optimal,optimal,VISl,RS,L5,siegle_survey_2019,Siegle2019
296,0.2783425141877663,optimal,optimal,VISl,RS,L5,siegle_survey_2019,Siegle2019
297,0.1524509571982613,optimal,optimal,VISl,RS,L4,siegle_survey_2019,Siegle2019
298,10.56032937713663,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
299,1.3072536782749864,optimal,optimal,VISl,RS,L3,siegle_survey_2019,Siegle2019
300,0.2964029063297206,optimal,optimal,VISl,RS,L3,siegle_survey_2019,Siegle2019
301,7.092639992315743,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
302,3.880169157423648,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
303,3.3390211117240067,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
304,1.241675310338217,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
305,6.144307164675765,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
306,12.252604874638438,optimal,optimal,CA3,FS,,siegle_survey_2019,Siegle2019
307,2.722683416827608,optimal,optimal,CA3,RS,,siegle_survey_2019,Siegle2019
308,19.24388398839901,optimal,optimal,CA1,FS,,siegle_survey_2019,Siegle2019
309,4.233038299203701,optimal,optimal,CA1,RS,L1,siegle_survey_2019,Siegle2019
310,1.3073331945522633,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
311,12.922954210709817,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
312,3.658292730156342,optimal,optimal,CA1,RS,L1,siegle_survey_2019,Siegle2019
313,5.16685188839246,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
314,4.777670074704363,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
315,7.1290760463813365,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
