firing rate (Hz),region,spiking class,citation,dataset
0.524053785383384,VIS,RS,siegle_survey_2019,Siegle2019
0.391963066169023,CA1,RS,siegle_survey_2019,Siegle2019
0.492915418635372,CA1,RS,siegle_survey_2019,Siegle2019
0.076405072171623,VIS,RS,siegle_survey_2019,Siegle2019
0.147004602902797,VIS,RS,siegle_survey_2019,Siegle2019
0.239996936332846,VIS,RS,siegle_survey_2019,Siegle2019
0.189094778346052,VIS,RS,siegle_survey_2019,Siegle2019
0.140468920144426,CA1,RS,siegle_survey_2019,Siegle2019
1.10771804091424,VIS,RS,siegle_survey_2019,Siegle2019
1.6743675013439,VISp,RS,siegle_survey_2019,Siegle2019
9.67250792957342,APN,RS,siegle_survey_2019,Siegle2019
4.266401080849,VISp,RS,siegle_survey_2019,Siegle2019
14.5555593071511,VISp,FS,siegle_survey_2019,Siegle2019
2.28936950352379,VISp,RS,siegle_survey_2019,Siegle2019
10.1229983775101,APN,RS,siegle_survey_2019,Siegle2019
9.48957549591292,VISp,RS,siegle_survey_2019,Siegle2019
1.72560397121919,APN,RS,siegle_survey_2019,Siegle2019
1.92787976950036,APN,RS,siegle_survey_2019,Siegle2019
0.0725692680056121,VIS,RS,siegle_survey_2019,Siegle2019
0.0610618555075793,VIS,RS,siegle_survey_2019,Siegle2019
0.538982320515967,VIS,RS,siegle_survey_2019,Siegle2019
2.48576780240682,APN,RS,siegle_survey_2019,Siegle2019
0.10989060583707,VIS,RS,siegle_survey_2019,Siegle2019
4.33480657022419,APN,RS,siegle_survey_2019,Siegle2019
1.07122224547466,VISp,RS,siegle_survey_2019,Siegle2019
0.176135980487907,VIS,RS,siegle_survey_2019,Siegle2019
5.22916564968327,APN,FS,siegle_survey_2019,Siegle2019
2.41127236774572,APN,FS,siegle_survey_2019,Siegle2019
0.233569372595206,grey,FS,siegle_survey_2019,Siegle2019
0.841384548144527,NOT,RS,siegle_survey_2019,Siegle2019
0.41969276434657,VISp,RS,siegle_survey_2019,Siegle2019
0.0974648603482715,SUB,RS,siegle_survey_2019,Siegle2019
0.0600102112547744,SUB,RS,siegle_survey_2019,Siegle2019
2.2844231970589,SUB,RS,siegle_survey_2019,Siegle2019
0.962089005541576,grey,FS,siegle_survey_2019,Siegle2019
3.44015239377569,grey,RS,siegle_survey_2019,Siegle2019
6.53546850941635,grey,RS,siegle_survey_2019,Siegle2019
1.62875990615976,SUB,RS,siegle_survey_2019,Siegle2019
6.02452977496352,grey,RS,siegle_survey_2019,Siegle2019
6.82293733590804,grey,RS,siegle_survey_2019,Siegle2019
7.85471585796113,SUB,FS,siegle_survey_2019,Siegle2019
3.99698508954319,grey,RS,siegle_survey_2019,Siegle2019
0.158076370752004,CA1,RS,siegle_survey_2019,Siegle2019
3.91477595241759,grey,RS,siegle_survey_2019,Siegle2019
7.61650287341109,grey,RS,siegle_survey_2019,Siegle2019
7.24966696703118,grey,RS,siegle_survey_2019,Siegle2019
1.49352999907357,VISp,RS,siegle_survey_2019,Siegle2019
0.267510264412132,LGd,FS,siegle_survey_2019,Siegle2019
8.29022100974296,LGd,FS,siegle_survey_2019,Siegle2019
