,orientation selectivity index,visual stimulus type,notes,stimulus orientation (degrees),spiking class,region,start time (ms),end time (ms),resolution,simulus drift speed (degrees/s),stimulus width (degrees),stimulus height (degrees),dataset,citation
39,0.0997247054926512,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
40,0.5862987264187666,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
41,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
42,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
43,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
44,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
45,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
46,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
47,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
48,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
