ecephys_unit_id,receptive field area (degrees),region,layer,spiking class,citation,dataset
915959422,100.0,grey,,FS,siegle_survey_2019,Siegle2019
915959426,400.0,grey,,FS,siegle_survey_2019,Siegle2019
915961028,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915959431,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915959443,0.0,grey,,FS,siegle_survey_2019,Siegle2019
915959446,900.0,grey,,FS,siegle_survey_2019,Siegle2019
915959450,100.0,grey,,FS,siegle_survey_2019,Siegle2019
915959459,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915959464,800.0,grey,,FS,siegle_survey_2019,Siegle2019
915959467,200.0,grey,,FS,siegle_survey_2019,Siegle2019
915961033,400.0,grey,,FS,siegle_survey_2019,Siegle2019
915959472,500.0,grey,,FS,siegle_survey_2019,Siegle2019
915959476,400.0,grey,,FS,siegle_survey_2019,Siegle2019
915959480,400.0,grey,,FS,siegle_survey_2019,Siegle2019
915959485,500.0,grey,,FS,siegle_survey_2019,Siegle2019
915959489,700.0,grey,,FS,siegle_survey_2019,Siegle2019
915961039,200.0,grey,,FS,siegle_survey_2019,Siegle2019
915961041,100.0,grey,,RS,siegle_survey_2019,Siegle2019
915959515,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915961044,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915959523,0.0,grey,,FS,siegle_survey_2019,Siegle2019
915959560,400.0,grey,,FS,siegle_survey_2019,Siegle2019
915959627,400.0,grey,,RS,siegle_survey_2019,Siegle2019
915959631,600.0,grey,,FS,siegle_survey_2019,Siegle2019
915959634,900.0,grey,,FS,siegle_survey_2019,Siegle2019
915959708,600.0,grey,,FS,siegle_survey_2019,Siegle2019
915959739,100.0,grey,,RS,siegle_survey_2019,Siegle2019
915959741,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915959748,400.0,grey,,FS,siegle_survey_2019,Siegle2019
915959751,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915959764,1200.0,grey,,FS,siegle_survey_2019,Siegle2019
915959771,100.0,grey,,FS,siegle_survey_2019,Siegle2019
915959792,800.0,grey,,RS,siegle_survey_2019,Siegle2019
915959816,500.0,grey,,RS,siegle_survey_2019,Siegle2019
915959841,1300.0,grey,,RS,siegle_survey_2019,Siegle2019
915959855,600.0,grey,,RS,siegle_survey_2019,Siegle2019
915959883,400.0,grey,,RS,siegle_survey_2019,Siegle2019
915959886,400.0,grey,,RS,siegle_survey_2019,Siegle2019
915959850,1900.0,grey,,RS,siegle_survey_2019,Siegle2019
915959862,500.0,grey,,RS,siegle_survey_2019,Siegle2019
915959867,1200.0,grey,,RS,siegle_survey_2019,Siegle2019
915959890,1400.0,grey,,RS,siegle_survey_2019,Siegle2019
915959895,800.0,grey,,RS,siegle_survey_2019,Siegle2019
915959897,500.0,grey,,RS,siegle_survey_2019,Siegle2019
915959902,300.0,grey,,RS,siegle_survey_2019,Siegle2019
915959913,500.0,grey,,RS,siegle_survey_2019,Siegle2019
915959943,800.0,grey,,RS,siegle_survey_2019,Siegle2019
915959916,700.0,grey,,RS,siegle_survey_2019,Siegle2019
915959921,3100.0,grey,,FS,siegle_survey_2019,Siegle2019
915959951,600.0,grey,,RS,siegle_survey_2019,Siegle2019
915959940,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915959947,500.0,grey,,RS,siegle_survey_2019,Siegle2019
915959960,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915959963,1700.0,grey,,RS,siegle_survey_2019,Siegle2019
915959969,300.0,grey,,RS,siegle_survey_2019,Siegle2019
915959967,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915960017,400.0,grey,,RS,siegle_survey_2019,Siegle2019
915959974,500.0,grey,,RS,siegle_survey_2019,Siegle2019
915959976,800.0,grey,,FS,siegle_survey_2019,Siegle2019
915960007,600.0,grey,,RS,siegle_survey_2019,Siegle2019
915959983,700.0,grey,,RS,siegle_survey_2019,Siegle2019
915959990,700.0,grey,,RS,siegle_survey_2019,Siegle2019
915960010,500.0,grey,,RS,siegle_survey_2019,Siegle2019
915960013,800.0,grey,,RS,siegle_survey_2019,Siegle2019
915960027,1000.0,grey,,RS,siegle_survey_2019,Siegle2019
915960032,1700.0,grey,,RS,siegle_survey_2019,Siegle2019
915960073,400.0,grey,,RS,siegle_survey_2019,Siegle2019
915960078,500.0,grey,,RS,siegle_survey_2019,Siegle2019
915960101,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915960109,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915960129,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915960165,200.0,grey,,FS,siegle_survey_2019,Siegle2019
915960192,900.0,grey,,FS,siegle_survey_2019,Siegle2019
915960262,900.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960275,200.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960283,1300.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960287,800.0,VISp,,FS,siegle_survey_2019,Siegle2019
915960290,300.0,VISp,,FS,siegle_survey_2019,Siegle2019
915960294,2600.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960297,2400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960300,500.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960312,100.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960317,1200.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960330,900.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960337,800.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960341,400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960352,100.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960356,200.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960359,400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915961158,600.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960366,300.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960371,400.0,VISp,,FS,siegle_survey_2019,Siegle2019
915960382,600.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960392,300.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960396,200.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960399,100.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960409,800.0,VISp,,FS,siegle_survey_2019,Siegle2019
915960413,300.0,VISp,,RS,siegle_survey_2019,Siegle2019
915961088,300.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960406,800.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960424,800.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960438,1100.0,VISp,,FS,siegle_survey_2019,Siegle2019
