sample size,Presynaptic layer,Postsynaptic layer,Presynaptic mtype,Postsynaptic mtype,connection probability,dataset,notes,column radius (um),region
35,L23,L5,NGC,SBC,0.285714285714286,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
30,L23,L5,NGC,NBC,0.266666666666667,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
18,L23,L5,NGC,BP,0.277777777777778,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
76,L23,L5,NGC,PC,0.355263157894737,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
35,L23,L1,BTC,SAC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
44,L23,L1,BTC,NGC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
46,L23,L23,BTC,MC,0.260869565217391,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
23,L23,L23,BTC,NGC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
56,L23,L23,BTC,BTC,0.142857142857143,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
55,L23,L23,BTC,BP,0.0909090909090909,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
20,L23,L23,BTC,DBC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
70,L23,L23,BTC,LBC,0.0285714285714285,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
