cell_id,depth (um),Schneider-Mizell type,region
291315,91.42114145473,L2a,VISp
292719,162.91048626304652,L2b,VISp
292700,135.50815605807932,L2b,VISp
255212,106.45229082283994,L2b,VISp
301083,406.2658331644847,L5a,VISp
298872,354.0253615133496,L4b,VISp
292833,165.33323176880566,L3a,VISp
255258,107.758546845706,L2a,VISp
262636,341.7472719950329,L4a,VISp
256456,131.75467512903555,L2a,VISp
262799,366.6766549864183,L4b,VISp
260713,294.27954648994165,L4a,VISp
305228,517.8463732290941,L6b,VISp
260536,268.9984624344123,L4a,VISp
260604,308.6137676730225,L4b,VISp
269488,512.7347296141031,L6a,VISp
304973,517.5939774916744,L5ET,VISp
301319,393.5405232713894,L4c,VISp
305199,518.6706408698477,L6a,VISp
269511,516.001193237959,L5b,VISp
296803,261.8115252599558,L4a,VISp
264900,393.7699716247615,L4c,VISp
292725,148.50308681378513,L2b,VISp
264884,377.5425362729984,L4c,VISp
298831,359.8793373856254,L4b,VISp
262774,350.1870551604702,L5a,VISp
299091,356.4428468085249,L4b,VISp
299079,362.2104944149045,L4c,VISp
298934,372.1415025076138,L4c,VISp
264988,389.1174841248458,L4c,VISp
262772,373.2334261206445,L4c,VISp
256638,139.29389105966314,L2b,VISp
298790,353.92807942557965,L4b,VISp
262652,369.3800329985388,L4a,VISp
294548,202.00039311193245,L3b,VISp
255213,85.27716909246718,L2a,VISp
296762,287.6706082308156,L4a,VISp
301241,388.0620918230282,L4c,VISp
264987,407.1135399386131,L5a,VISp
299067,362.57647274199536,L4c,VISp
262804,358.46400782601336,L4c,VISp
292678,179.6279446041186,L3a,VISp
258369,194.0751415105332,L3b,VISp
260729,296.26943588005673,L4a,VISp
256443,128.34702818721445,L2a,VISp
294694,249.72346221668715,L3b,VISp
262549,369.8053457295699,L4a,VISp
299038,376.0930158713355,L4c,VISp
296397,274.5025870158671,L4a,VISp
292637,181.87098141605543,L3b,VISp
299023,376.9545951552713,L4c,VISp
294682,193.2918558852973,L3c,VISp
260629,266.26089410698506,L4a,VISp
298772,372.0223133028401,L4a,VISp
262956,376.6280095321939,L4c,VISp
301096,393.6546549055212,L4c,VISp
262996,373.0405382527963,L4c,VISp
262929,363.4632831107519,L4c,VISp
299041,368.6876711615684,L4a,VISp
262910,365.53461666175247,L4c,VISp
298912,379.1580657975634,L4c,VISp
262868,354.0626445089651,L4a,VISp
256459,148.63814311975392,L2b,VISp
264990,383.6909885138761,L4c,VISp
294465,221.25964187221672,L3b,VISp
300763,388.4674050322556,L4c,VISp
296504,281.5844674304321,L3c,VISp
260562,291.81032747057264,L4a,VISp
269402,516.916384666978,L6b,VISp
296547,291.3524137357392,L4a,VISp
256654,150.84485073367543,L2b,VISp
258401,186.4559842610805,L3c,VISp
269504,520.5200408045228,L6b,VISp
298788,358.0324232649214,L4a,VISp
294565,223.49658031972396,L3a,VISp
299074,374.1450044724613,L4c,VISp
256449,129.06184618564916,L2a,VISp
256548,132.39296224590595,L2a,VISp
296613,254.2807486896643,L3c,VISp
292824,154.1664293446753,L2a,VISp
255121,101.46495180514188,L2b,VISp
260740,262.89368013622123,L3c,VISp
256437,170.77781983312255,L3b,VISp
258297,232.3904333820276,L3b,VISp
292713,167.03959861219244,L3a,VISp
258306,234.20500696074777,L4a,VISp
292899,186.1788486614236,L3b,VISp
256552,172.98345800568978,L3a,VISp
294664,202.3653598195461,L3b,VISp
292666,129.7849009044782,L2b,VISp
296726,251.208560131963,L3c,VISp
292683,186.85071922726328,L3b,VISp
296745,280.96274075053793,L4a,VISp
298953,337.5901249901431,L4b,VISp
260689,300.1836376005965,L4b,VISp
262892,327.3907967636859,L4a,VISp
292732,153.62741838021867,L3a,VISp
258377,218.70097325907625,L3b,VISp
256439,118.94219881619816,L2b,VISp
304986,524.9830795214174,L5NP,VISp
269510,521.1232416303633,L6a,VISp
260587,300.3016130726952,L4b,VISp
291160,98.85521415602236,L2b,VISp
262926,338.0603219232797,L4b,VISp
262726,343.3510387181889,L4a,VISp
298815,359.5678671793407,L4c,VISp
298917,334.0455433214635,L4a,VISp
298811,352.7818503316842,L4c,VISp
304962,547.7102925993734,L6a,VISp
304976,551.8924388748317,L6a,VISp
296482,259.14069042976087,L3b,VISp
294484,249.47976577467867,L3c,VISp
296531,297.2675451377113,L4a,VISp
262722,338.2385855969185,L4b,VISp
260842,293.7222987808171,L4a,VISp
298946,355.0267655645107,L4a,VISp
301102,386.4708104113734,L4c,VISp
294605,253.1932471333714,L3b,VISp
305068,525.7546309928107,L6a,VISp
305242,527.4543504273074,L6CT,VISp
296665,310.253776598006,L4b,VISp
260596,286.32137612778786,L4a,VISp
294549,215.04575686296917,L3c,VISp
294646,228.1112071319972,L3c,VISp
296540,294.07084934277543,L4a,VISp
296784,308.3148114258053,L4a,VISp
294540,247.1424817334033,L4a,VISp
298827,356.93460392740286,L4c,VISp
255217,102.9654828941627,L2a,VISp
262687,340.4161318186086,L4b,VISp
299018,375.3798741805926,L4c,VISp
