firing rate (Hz),region,layer,spiking class,citation,dataset,stimulus orientation (degrees),temporal frequency (Hz)
0.0229339718944758,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0781833457600382,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1120356483288975,VISp,L4,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0831615949600821,LGd,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0370547211073447,LGd,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1595628576355885,VISp,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2093426278655989,CA3,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0246298107988977,CA3,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1488349620354015,VISl,L6a,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2940080457147304,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1318048309873511,VISl,L6a,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0679787708662235,VISl,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0509878794710534,VISl,L5,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.260024334289275,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0833009102303407,CA1,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0862584002255278,ZI,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0345685798498619,VISl,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0207285061292242,MB,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2054120685172281,VISl,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2070295838765394,VISl,L5,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0431088705281256,VISl,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1271639501927429,VISl,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0769471452321815,VISl,L4,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0741662090408633,grey,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0525692572420428,VISl,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2042446736503443,VISl,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0625875735599221,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1173114688029156,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1142015560220014,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0485568772088745,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0593603781105399,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0286554406914176,CA3,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0145973550837847,CA3,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0246990981020916,CA1,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2099456557603894,CA1,L1,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1243002312614431,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0269300661846238,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.111884725762461,CA1,L1,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0446794333754291,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0361881752748152,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0484757945894541,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0558619472008356,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0530996835610195,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0751899352484593,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0473542746088499,CA3,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0475803785212649,VISl,L6a,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0224657332732245,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0206328047028095,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1372173359163893,VISl,L6a,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0344760621706657,CA3,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0382841635585389,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0293788611138188,VISl,L6a,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2325645426798142,VISl,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
