,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,PSC amplitude (nA),PSC rise time (ms),PSC decay tau (ms),voltage clamp (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
187,mouse,VISp,211.79622201512387,33.80180491527318,L6a,Vip,INH,12982,L6a,Sst,INH,12977,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002608131713520531,9.978475263294506,21.698495151259436,-55.0,200.0,225.0,25.0,50.0
188,mouse,VISp,46.98061038205839,81.06562362912652,L5,Sst,INH,13051,L4,Nr5a1,EXC,13049,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.001370817634021336,2.9905224331354563,12.89791337366243,-55.0,25.0,50.0,75.0,100.0
189,mouse,VISp,40.56958551973257,18.691763802730627,L5,Sst,INH,13051,L4,Nr5a1,EXC,13050,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0025203935074121003,0.3418968512067038,15.975695195864317,-55.0,25.0,50.0,0.0,25.0
190,mouse,VISp,20.89369759024032,84.86131443913439,L5,Sst,INH,13066,L4,Sst,INH,13065,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002896165994784784,1.2803520115879214,6.417306900729582,-55.0,0.0,25.0,75.0,100.0
191,mouse,VISp,55.148130460368556,69.32392599273425,L5,,EXC,13122,L5,Sst,INH,13121,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0031570634238123744,0.6740037635588297,0.8518967580387545,-70.0,50.0,75.0,50.0,75.0
192,mouse,VISp,86.69133051830616,68.02463259280297,L4,Nr5a1,EXC,13146,L5,Pvalb,INH,13148,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.002753226824020018,1.1363802611902496,1.1609053504831306,-70.0,75.0,100.0,50.0,75.0
193,mouse,VISp,46.244215363550225,99.59638580319849,L4,Nr5a1,EXC,13157,L5,Pvalb,INH,13159,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.009464992918499282,0.9990559484661902,1.5301200058473592,-70.0,25.0,50.0,75.0,100.0
194,mouse,VISp,72.54151424951704,31.17926286231126,L5,Pvalb,INH,13174,L5,Nr5a1,EXC,13170,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.005862947251914189,1.022071112350535,3.915605700864436,-55.0,50.0,75.0,25.0,50.0
195,mouse,VISp,1.1339409394746747,43.58750756806088,L5,,EXC,13175,L5,Pvalb,INH,13174,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.050347870587905394,0.7504920830534119,1.09895470831943,-70.0,0.0,25.0,25.0,50.0
196,mouse,VISp,36.53491077387527,65.6841463617743,L5,,EXC,13192,L5,,INH,13193,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.011059882383479292,0.6248107813053392,2.959607481496401,-70.0,25.0,50.0,50.0,75.0
197,mouse,VISp,131.81463384245689,300.13272320445014,L23,,EXC,13227,L5,Sst,INH,13223,AISynphys,Accessed on 2025-07-07 00:00:007,True,-8.137437077982527e-08,1.724668591927536,2.1387791411206973,-70.0,125.0,150.0,300.0,325.0
198,mouse,VISp,16.85921808570267,40.51972473831372,L23,,EXC,13453,L23,,EXC,13454,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.002587075957791758,1.3385911888789652,3.501773546297937,-70.0,0.0,25.0,25.0,50.0
199,mouse,VISp,117.54193944728894,52.6786280517999,L23,Vip,INH,13460,L23,,EXC,13453,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0003090705565813674,3.9821283108007623,20.475400995676726,-55.0,100.0,125.0,50.0,75.0
200,mouse,VISp,29.417013026072564,74.89297164082808,L4,Nr5a1,EXC,13574,L23,Nr5a1,EXC,13575,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0014854244337094466,1.7512567008874145,7.581449324611007,-70.0,25.0,50.0,50.0,75.0
201,mouse,VISp,20.227178265671597,52.78649572427356,L23,Sst,INH,13653,L23,,EXC,13652,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.005418094854653341,1.9208499997795618,8.313624925235038,-55.0,0.0,25.0,50.0,75.0
202,mouse,VISp,11.273061480910446,32.953294673030925,L23,,EXC,13655,L23,Sst,INH,13656,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0005488503051667246,0.913574628486138,9.144657631457147,-70.0,0.0,25.0,25.0,50.0
203,mouse,VISp,56.10947038312504,19.110201704199568,L23,,EXC,13655,L23,,INH,13657,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.01151077670231789,1.0639446980740717,0.990514340723061,-70.0,50.0,75.0,0.0,25.0
204,mouse,VISp,56.10947038312504,19.110201704199568,L23,,INH,13657,L23,,EXC,13655,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002521048997733134,1.2937730984749898,23.000326944292325,-55.0,50.0,75.0,0.0,25.0
205,mouse,VISp,6.299538862756938,15.768238519461095,L23,,EXC,13826,L23,,INH,13827,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0020733456259801352,0.8770613875598389,1.0763154051045538,-70.0,0.0,25.0,0.0,25.0
206,mouse,VISp,6.391603358219036,39.8653740562058,L23,,INH,13827,L23,,EXC,13828,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.011546662118702637,2.3837123585892277,6.517823505419536,-55.0,0.0,25.0,25.0,50.0
207,mouse,VISp,0.20177596508016213,55.65403124536372,L23,,EXC,13828,L23,,EXC,13826,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00013017446167767,1.0890773553302953,5.970893170776843,-70.0,0.0,25.0,50.0,75.0
208,mouse,VISp,27.6676006247929,48.42682133123013,L23,,EXC,14402,L23,,EXC,14403,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0007273661671131311,1.8126801272971063,2.599327413882012,-70.0,25.0,50.0,25.0,50.0
